"1","1","3","3849","2018-05-24 09:00:00","2018-05-28 09:00:00","1"
"1","2","3","359","2018-05-28 09:00:00","2018-05-29 09:00:00","2"
"1","3","3","10115","2018-05-29 09:00:00","2018-05-31 09:00:00","3"
"1","4","3","3654","2018-05-31 09:00:00","2018-06-05 09:00:00","4"
"2","5","3","1295","2018-05-17 23:00:00","2018-05-19 23:00:00","1"
"3","6","1","10036","2018-12-24 17:00:00","2018-12-29 17:00:00","1"
"4","7","1","3979","2017-08-06 13:00:00","2017-08-07 13:00:00","1"
"5","8","3","6558","2017-04-15 21:00:00","2017-04-17 21:00:00","1"
"5","9","3","10190","2017-04-17 21:00:00","2017-04-20 21:00:00","2"
"5","10","3","9218","2017-04-20 21:00:00","2017-04-22 21:00:00","3"
"6","11","4","9628","2017-01-24 22:00:00","2017-01-29 22:00:00","1"
"6","12","4","2231","2017-01-29 22:00:00","2017-01-31 22:00:00","2"
"6","13","4","2733","2017-01-31 22:00:00","2017-02-01 22:00:00","3"
"7","14","3","3668","2017-11-27 06:00:00","2017-11-29 06:00:00","1"
"7","15","3","2362","2017-11-29 06:00:00","2017-12-04 06:00:00","2"
"7","16","3","10220","2017-12-04 06:00:00","2017-12-09 06:00:00","3"
"7","17","3","8381","2017-12-09 06:00:00","2017-12-10 06:00:00","4"
"7","18","3","4233","2017-12-10 06:00:00","2017-12-13 06:00:00","5"
"8","19","1","7818","2018-10-16 02:00:00","2018-10-19 02:00:00","1"
"8","20","1","7714","2018-10-19 02:00:00","2018-10-24 02:00:00","2"
"8","21","1","51","2018-10-24 02:00:00","2018-10-28 02:00:00","3"
"8","22","1","909","2018-10-28 02:00:00","2018-10-30 02:00:00","4"
"8","23","1","2114","2018-10-30 02:00:00","2018-11-01 02:00:00","5"
"9","24","5","3379","2018-10-12 22:00:00","2018-10-13 22:00:00","1"
"10","25","1","9849","2018-07-25 22:00:00","2018-07-27 22:00:00","1"
"10","26","1","2072","2018-07-27 22:00:00","2018-07-29 22:00:00","2"
"11","27","3","362","2018-11-07 03:00:00","2018-11-11 03:00:00","1"
"11","28","3","4465","2018-11-11 03:00:00","2018-11-16 03:00:00","2"
"11","29","3","8286","2018-11-16 03:00:00","2018-11-19 03:00:00","3"
"12","30","1","6203","2018-07-26 10:00:00","2018-07-27 10:00:00","1"
"12","31","1","3464","2018-07-27 10:00:00","2018-07-30 10:00:00","2"
"12","32","1","6666","2018-07-30 10:00:00","2018-08-04 10:00:00","3"
"12","33","1","5393","2018-08-04 10:00:00","2018-08-05 10:00:00","4"
"13","34","1","1500","2017-07-16 10:00:00","2017-07-20 10:00:00","1"
"13","35","1","4573","2017-07-20 10:00:00","2017-07-24 10:00:00","2"
"14","36","4","7856","2017-10-26 11:00:00","2017-10-29 11:00:00","1"
"14","37","4","5839","2017-10-29 11:00:00","2017-11-01 11:00:00","2"
"14","38","4","8815","2017-11-01 11:00:00","2017-11-05 11:00:00","3"
"15","39","4","3601","2017-01-01 15:00:00","2017-01-03 15:00:00","1"
"15","40","4","1296","2017-01-03 15:00:00","2017-01-08 15:00:00","2"
"15","41","4","8567","2017-01-08 15:00:00","2017-01-11 15:00:00","3"
"15","42","4","6246","2017-01-11 15:00:00","2017-01-12 15:00:00","4"
"16","43","2","7538","2017-10-17 12:00:00","2017-10-22 12:00:00","1"
"16","44","2","974","2017-10-22 12:00:00","2017-10-26 12:00:00","2"
"16","45","2","6410","2017-10-26 12:00:00","2017-10-29 12:00:00","3"
"17","46","2","3887","2017-01-24 13:00:00","2017-01-29 13:00:00","1"
"17","47","2","6455","2017-01-29 13:00:00","2017-02-01 13:00:00","2"
"17","48","2","2315","2017-02-01 13:00:00","2017-02-05 13:00:00","3"
"18","49","1","2994","2017-08-08 04:00:00","2017-08-10 04:00:00","1"
"19","50","4","8451","2018-10-04 21:00:00","2018-10-08 21:00:00","1"
"20","51","1","3863","2018-07-28 01:00:00","2018-07-29 01:00:00","1"
"20","52","1","7475","2018-07-29 01:00:00","2018-07-30 01:00:00","2"
"21","53","4","6372","2018-01-20 13:00:00","2018-01-21 13:00:00","1"
"21","54","4","8487","2018-01-21 13:00:00","2018-01-23 13:00:00","2"
"21","55","4","6001","2018-01-23 13:00:00","2018-01-27 13:00:00","3"
"21","56","4","3611","2018-01-27 13:00:00","2018-01-31 13:00:00","4"
"22","57","5","361","2018-02-11 07:00:00","2018-02-16 07:00:00","1"
"22","58","5","1193","2018-02-16 07:00:00","2018-02-19 07:00:00","2"
"22","59","5","1027","2018-02-19 07:00:00","2018-02-22 07:00:00","3"
"23","60","5","5673","2017-07-24 19:00:00","2017-07-25 19:00:00","1"
