"Malishevë","XK","42.48383339999999","20.743101","ChIJdUiZztifUxMRlYLRxwg0Ylo","Malishevë","42.49475289999999","20.7555843","42.469216","20.7270799","00714c1f3142f18cf5b3e0377e7475dd43bff715"
"Prizren","XK","42.2152585","20.7414739","ChIJHzD0EgqVUxMRUFg9jZsuDto","Prizren","42.2556387","20.7811993","42.1911995","20.6879961","175b221091e41d53227d78c9242f4f5bf818b83d"
"Zubin Potok","XK","42.9148171","20.6897443","ChIJy_T8mnI4UxMReJ69Cvhq1U4","Zubin Potok","42.9191568","20.7125693","42.90483690000001","20.6835713","9f93aab016fa7b9f8b230e2eb1e8ce853341412a"
"Štrpce","XK","42.2406238","21.0259079","ChIJ1wyQyh-JUxMR-6KxmBelREQ","Štrpce","42.2490044","21.032367","42.2262091","21.0189073","17fe6c879dc7231b89014a4751c107abb52836c2"
"Shtime","XK","42.4328939","21.0400541","ChIJ9RxWxXB_UxMRButu9HB3EQw","Shtime","42.4470708","21.0524874","42.427602","21.0260995","12c283009a5a4a97e647c9c9cf5173442b0a2cdd"
"Vučitrn","XK","42.8266902","20.9703534","ChIJN2q4jo1bUxMR6yNdceG2JIU","Vučitrn","42.8391724","20.9957276","42.8079026","20.9521881","6be0ad9befbf1912311e5d57d85783741194adc0"
"Dragash","XK","42.0615398","20.6511592","ChIJ54jqjSPDUxMRQke_kD0kgn0","Dragash","42.0647175","20.6636585","42.0518943","20.642715","15131f147993a6f165e67d5f5a09a66a6e31f045"
"Besianë","XK","42.9107754","21.1956273","ChIJfZQjNvirVBMRyZGBhmZ3I78","Besianë","42.9339798","21.21643","42.88571109999999","21.1748643","51d4fa56d49e4703df33ab6f0c61cad07128cbbc"
"Kosovo Polje","XK","42.6374365","21.0931113","ChIJixZJfgdiUxMR8Ng101tANg4","Kosovo Polje","42.6551027","21.1143529","42.6203457","21.0674688","88d3789ae64213b739dbd949d1c850da93067a72"
"Kacanik","XK","42.2278811","21.2568575","ChIJFWkicZ56VBMRKMLNyCRCfVw","Kacanik","42.2483824","21.2698212","42.2178572","21.2382433","bdc93e5cc8453f28d07744c0a5b40d86b6f040ed"
"Klina","XK","42.6193237","20.5781567","ChIJTYaqe_cOUxMR-TsMyCKHoVA","Klina","42.6323056","20.5991902","42.6141897","20.5670443","879c4e6f3c1f0490f3a50bb784355be1ad5f9d51"
"Leposaviq","XK","43.1015959","20.8011155","ChIJNxK0514eVkcR8NHXuUM_Ks4","Leposaviq","43.11460719999999","20.815689","43.0950748","20.7874303","b176821dfcfecf3346c4a557902b781122e67b5e"
"페치","XK","42.6592868","20.2887358","ChIJocvgl8D9UhMRUboOzNiWki0","페치","42.6882332","20.3438569","42.6330192","20.2525808","991e9e46aae42d9a714f27049d4d2943714ab68b"
"Rahovec","XK","42.3998287","20.6527992","ChIJo6mGL7qjUxMR3TtLAZGsdTo","Rahovec","42.4160395","20.6680439","42.379409","20.633083","4658fd99a5b343c600665a7c62d658743277ea98"
