"Malishevë","XK","20.743101","42.483833"
"Prizren","XK","20.741474","42.215258"
"Zubin Potok","XK","20.689744","42.914817"
"Štrpce","XK","21.025908","42.240624"
"Shtime","XK","21.040054","42.432894"
"Vučitrn","XK","20.970353","42.826690"
"Dragash","XK","20.651159","42.061540"
"Besianë","XK","21.195627","42.910775"
"Kosovo Polje","XK","21.093111","42.637436"
"Kacanik","XK","21.256857","42.227881"
"Klina","XK","20.578157","42.619324"
"Leposaviq","XK","20.801116","43.101596"
"페치","XK","20.288736","42.659287"
"Rahovec","XK","20.652799","42.399829"
"그닐라네","XK","21.469401","42.463521"
"Lipljan","XK","21.122508","42.525760"
"Obilić","XK","21.067039","42.686917"
"자코비차","XK","20.428502","42.384410"
"프리슈티나","XK","21.165503","42.662914"
"Desan","XK","20.288325","42.540328"
"Istog","XK","20.491103","42.781963"
"Elez Han","XK","21.297917","42.148901"
"Junik","XK","20.277506","42.476203"
"Klokot","XK","21.370958","42.369002"
"Mamushë","XK","20.722676","42.327331"
"Partesh","XK","21.433232","42.400847"
"Ranillug","XK","21.598518","42.492248"
"페리자이","XK","21.148328","42.370184"
"Zveçan","XK","20.838638","42.910763"
"Suva Reka","XK","20.831925","42.362461"
"Glogovac","XK","20.890502","42.621063"
"Mitrovica","XK","20.866000","42.891391"
"Skenderaj","XK","20.789152","42.747564"
"Novo Brdo","XK","21.440567","42.608837"
"Gračanica","XK","21.191876","42.601401"
"롱위에아르비엔","XR","15.626723","78.223172"
"사나","YE","44.191007","15.369445"
"마리브","YE","45.322857","15.470031"
"Algabin","YE","43.579915","14.677363"
"Hajjah","YE","43.603930","15.703040"
"호데이다","YE","42.970884","14.790912"
"Lahich","YE","48.386863","40.846348"
"Al Mahwit","YE","43.546274","15.468784"
"타이즈","YE","44.017799","13.577589"
"Sadah","YE","55.067255","17.055932"
"Ad Dali","YE","44.733454","13.703256"
"Seiyun","YE","48.809567","15.949543"
"Bayda","YE","35.949248","35.125534"
"Zinjibar","YE","45.388640","13.135021"
"Ataq","YE","46.830127","14.529564"
"Al Ghaydah","YE","52.180613","16.206050"
"Sayhut","YE","51.250092","15.211044"
"무칼라","YE","49.127197","14.540433"
"Al Hazm","YE","57.476869","23.555309"
"Zabid","YE","43.322223","14.200431"
"아덴","YE","45.018655","12.785497"
"하디부","YE","54.018968","12.650127"
"Ash Shihr","YE","49.604414","14.763449"
"Dzaoudzi","YT","45.258340","-12.785264"
"프레토리아","ZA","28.229271","-25.747868"
